Severity,Start_Time,Start_Lat,Start_Lng,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,Stop,Traffic_Signal,Sunrise_Sunset,hour
2,2016-12-09 12:06:00,37.243786,-121.772583,69.8,49.0,29.93,10.0,SSE,9.2,Clear,0,0,0,0,0,0,0,1,12
2,2016-05-12 09:10:00,40.844063,-72.723343,44.1,93.0,30.01,9.0,SSW,5.8,Light Rain,0,0,0,0,0,0,0,1,9
2,2016-02-11 07:31:00,28.488258,-80.794655,73.4,94.0,30.19,7.0,ENE,5.8,Mostly Cloudy,0,0,0,0,0,0,0,0,7
2,2016-01-07 11:29:00,28.330875,-82.552109,88.0,63.0,30.07,10.0,WSW,10.4,Partly Cloudy,0,0,0,0,0,0,0,1,11
3,2016-03-11 01:40:00,34.362633,-118.555092,71.0,18.0,29.19,10.0,NNW,10.0,Fair,0,0,0,0,0,0,0,0,1
3,2016-02-05 20:15:00,38.576969,-121.465462,73.9,38.0,29.94,10.0,SW,4.6,Clear,0,0,0,0,0,0,0,0,20
3,2016-09-12 05:17:00,43.017788,-85.763245,27.0,85.0,30.36,5.0,WNW,6.9,Light Snow,0,0,0,0,0,0,0,0,5
2,2016-01-12 21:09:00,36.772709000000006,-121.66922,46.9,80.0,30.14,10.0,NW,3.5,Clear,0,0,0,0,0,1,0,0,21
3,2016-10-06 01:29:00,34.117519,-117.844925,62.6,82.0,30.0,2.0,Variable,4.6,Haze,0,0,0,0,0,0,0,0,1
2,2016-06-07 19:31:00,32.841682,-117.120468,66.9,70.0,29.94,10.0,WSW,6.9,Clear,0,0,0,0,0,0,0,1,19
2,2016-05-10 14:46:00,37.526405,-122.270081,71.6,33.0,30.06,10.0,NW,12.7,Clear,0,0,0,0,0,0,0,1,14
3,2017-05-01 11:23:00,33.754622999999995,-117.85154,60.1,96.0,30.0,2.0,SSE,8.1,Light Rain,0,0,0,0,0,0,0,1,11
2,2016-10-04 14:02:00,37.149731,-121.985939,57.9,81.0,29.93,10.0,NNW,5.8,Overcast,0,0,0,0,0,0,0,1,14
2,2017-11-01 17:45:00,41.594093,-93.643799,18.0,74.0,29.88,9.0,North,13.8,Light Snow,0,0,0,0,0,0,0,0,17
2,2016-08-08 17:38:00,26.669115,-81.881546,80.1,81.0,30.01,10.0,SE,5.8,Overcast,0,0,1,0,0,0,0,1,17
2,2016-08-06 13:23:00,33.979473,-118.062935,77.0,54.0,29.87,10.0,SSW,9.2,Clear,0,0,0,0,0,0,0,1,13
2,2016-05-12 15:25:00,39.044483,-123.150429,50.0,57.0,30.09,10.0,NNW,9.2,Clear,0,0,0,0,0,1,0,1,15
3,2016-06-07 23:04:00,37.480366,-121.196892,72.0,43.0,29.89,10.0,NNW,9.2,Clear,0,0,0,0,0,0,0,0,23
2,2016-01-06 16:37:00,33.973595,-118.078987,77.0,54.0,29.89,10.0,South,10.4,Clear,0,0,0,0,0,0,1,1,16
3,2016-06-08 19:45:00,26.318256,-80.116394,73.9,93.0,30.02,2.5,North,3.5,Heavy Rain,0,0,0,0,1,0,0,1,19
